Timestamp,City,Country,Temperature (°C),Feels Like (°C),Humidity (%),Wind Speed (m/s),Weather Description
2025-03-03 08:03:45,Hanoi,VN,21.81,22.32,87,2.14,overcast clouds
2025-03-03 08:03:45,Hue,VN,25.15,25.73,77,1.08,few clouds
2025-03-03 08:03:45,Ho Chi Minh City,VN,27.04,28.51,65,3.55,broken clouds
2025-03-03 08:04:15,Hanoi,VN,21.81,22.32,87,2.14,overcast clouds
2025-03-03 08:04:15,Hue,VN,25.15,25.73,77,1.08,few clouds
2025-03-03 08:04:16,Ho Chi Minh City,VN,27.04,28.51,65,3.55,broken clouds
2025-03-03 08:04:46,Hanoi,VN,21.81,22.32,87,2.14,overcast clouds
2025-03-03 08:04:46,Hue,VN,25.15,25.73,77,1.08,few clouds
2025-03-03 08:04:46,Ho Chi Minh City,VN,27.04,28.51,65,3.55,broken clouds
2025-03-03 08:05:16,Hanoi,VN,21.81,22.32,87,2.14,overcast clouds
2025-03-03 08:05:16,Hue,VN,25.15,25.73,77,1.08,few clouds
2025-03-03 08:05:16,Ho Chi Minh City,VN,27.04,28.51,65,3.55,broken clouds
2025-03-03 08:05:47,Hanoi,VN,21.81,22.32,87,2.14,overcast clouds
2025-03-03 08:05:47,Hue,VN,25.15,25.73,77,1.08,few clouds
2025-03-03 08:05:47,Ho Chi Minh City,VN,27.04,28.51,65,3.55,broken clouds
2025-03-03 08:06:17,Hanoi,VN,21.81,22.32,87,2.14,overcast clouds
2025-03-03 08:06:17,Hue,VN,25.15,25.73,77,1.08,few clouds
2025-03-03 08:06:17,Ho Chi Minh City,VN,27.04,28.51,65,3.55,broken clouds
2025-03-03 08:06:47,Hanoi,VN,21.81,22.32,87,2.14,overcast clouds
2025-03-03 08:06:47,Hue,VN,25.15,25.73,77,1.08,few clouds
2025-03-03 08:06:48,Ho Chi Minh City,VN,27.04,28.51,65,3.55,broken clouds
2025-03-03 08:07:18,Hanoi,VN,21.81,22.32,87,2.14,overcast clouds
2025-03-03 08:07:18,Hue,VN,25.15,25.73,77,1.08,few clouds
2025-03-03 08:07:18,Ho Chi Minh City,VN,27.04,28.51,65,3.55,broken clouds
2025-03-03 08:07:48,Hanoi,VN,21.81,22.32,87,2.14,overcast clouds
2025-03-03 08:07:48,Hue,VN,25.15,25.73,77,1.08,few clouds
2025-03-03 08:07:48,Ho Chi Minh City,VN,27.04,28.51,65,3.55,broken clouds
2025-03-03 08:08:18,Hanoi,VN,21.81,22.32,87,2.14,overcast clouds
2025-03-03 08:08:19,Hue,VN,25.15,25.73,77,1.08,few clouds
2025-03-03 08:08:19,Ho Chi Minh City,VN,27.04,28.51,65,3.55,broken clouds
2025-03-03 08:08:49,Hanoi,VN,21.81,22.32,87,2.14,overcast clouds
2025-03-03 08:08:49,Hue,VN,25.15,25.73,77,1.08,few clouds
2025-03-03 08:08:49,Ho Chi Minh City,VN,27.04,28.51,65,3.55,broken clouds
2025-03-03 08:09:19,Hanoi,VN,21.81,22.32,87,2.14,overcast clouds
2025-03-03 08:09:19,Hue,VN,25.15,25.73,77,1.08,few clouds
2025-03-03 08:09:19,Ho Chi Minh City,VN,27.04,28.51,65,3.55,broken clouds
2025-03-03 08:09:50,Hanoi,VN,21.81,22.32,87,2.14,overcast clouds
2025-03-03 08:09:50,Hue,VN,25.15,25.73,77,1.08,few clouds
2025-03-03 08:09:50,Ho Chi Minh City,VN,27.04,28.51,65,3.55,broken clouds
2025-03-03 08:10:20,Hanoi,VN,21.81,22.32,87,2.14,overcast clouds
2025-03-03 08:10:20,Hue,VN,25.15,25.73,77,1.08,few clouds
2025-03-03 08:10:20,Ho Chi Minh City,VN,27.04,28.51,65,3.55,broken clouds
2025-03-03 08:10:50,Hanoi,VN,21.81,22.32,87,2.14,overcast clouds
2025-03-03 08:10:51,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:10:51,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:11:21,Hanoi,VN,21.81,22.32,87,2.14,overcast clouds
2025-03-03 08:11:21,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:11:21,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
